categoria,subcategoria,nome,descricao,foto_url
Alimentação,Restaurante,Cariri Cabaña,Cozinha nordestina contemporânea à beira-mar,
Alimentação,Restaurante,Terra Tupi,Cozinha contemporânea sofisticada,
Alimentação,Restaurante,Mangará,Cozinha nordestina autêntica,
Alimentação,Restaurante,Camarada Camarão,Especialista em pratos com camarão,
Alimentação,Restaurante,Sal e Brasa,Churrascaria com rodízio de carnes nobres,
Alimentação,Restaurante,Di Vino,Cozinha italiana com vinhos selecionados,
Alimentação,Restaurante,Carne de Sol do Ramiro,Tradicional carne de sol nordestina,
Alimentação,Restaurante,Pitu com Pirão da Eliane,Pratos regionais com pitus frescos,
Alimentação,Restaurante,Restaurante Sollo,Peixes, carnes e risotos,
Alimentação,Restaurante,Porto Seaside,Buffet de frutos do mar e carnes grelhadas,
Alimentação,Bar,Tarrafas,Bar e rodízio na Orla de Atalaia,
Alimentação,Bar,Conversafiada,Rodízio de pizza e petiscos,
Alimentação,Bar,Cantina Locatelli,Vinhos do Vale do São Francisco,
Alimentação,Bar,Passarela do Caranguejo,Polo gastronômico com música ao vivo,
Alimentação,Pizzaria,Santa Pizza,Pizzas artesanais variadas,
Alimentação,Pizzaria,La Vecchia,Italiana com pizzas e massas,
Alimentação,Pizzaria,Tarrafas,Rodízio de pizza na Atalaia,
Alimentação,Pizzaria,Conversafiada,Rodízio mais completo da cidade,
Alimentação,Pizzaria,Cantina Locatelli,Pizza com vinhos selecionados,
Alimentação,Hamburgueria,Original Gaúcho Burguer,Hambúrgueres na Farolândia,
Alimentação,Hamburgueria,La Brasa,Hambúrgueres premium na Atalaia,
Alimentação,Sushi,Japa Aju,Primeiro com pizza de sushi em Aracaju,
Alimentação,Sushi,Joy Sushi,Sushi no pote, hot dog e burger,
Alimentação,Sushi,New Hakata,Restaurante japonês tradicional,
Alimentação,Padaria,Pães e Trigo,Pães artesanais e doces,
Alimentação,Padaria,Regina Delicatessen,Há mais de 30 anos no Bairro Luzia,
Alimentação,Padaria,Pand'oro,Padaria tradicional,
Alimentação,Padaria,Sorvepan,Sorvetes e pães,
Alimentação,Sorveteria,Castelo Branco,Tradicional, atrativo turístico de Aracaju,
Alimentação,Sorveteria,Il Sordo,Sorvetes artesanais por surdos,
Alimentação,Sorveteria,Bonjour Gourmet,Gelateria comparável às de SP,
Alimentação,Sorveteria,Trupe,Sorvetes 100% artesanais,
Alimentação,Sorveteria,O Rei do Sorvete,Sorveteria & Cafeteria,
Alimentação,Cafeteria,Feito a Grão,Café especial no Shopping Jardins,
Alimentação,Cafeteria,O Rei do Sorvete,Cafeteria com cafés artesanais,
Alimentação,Cafeteria,Pand'oro,Café e padaria,
Comércio,Loja de Roupas,Riachuelo,Moda completa no Shopping RioMar,
Comércio,Loja de Roupas,C&A,Moda no Shopping RioMar,
Comércio,Loja de Roupas,Renner,Moda no Shopping Jardins,
Comércio,Loja de Roupas,Hering,Moda no Shopping Jardins,
Comércio,Loja de Roupas,Aramis,Moda masculina sofisticada,
Comércio,Loja de Roupas,Damyller,Moda jovem,
Comércio,Loja de Roupas,Les Lis Blanc,Moda premium feminina (RioMar),
Comércio,Loja de Roupas,Básico Chic Modas,Loja local de moda feminina,
Comércio,Loja de Calçados,Arezzo,Calçados femininos premium,
Comércio,Loja de Calçados,Santa Lolla,Calçados femininos,
Comércio,Loja de Calçados,Schutz,Calçados femininos premium,
Comércio,Loja de Calçados,Paquetá,Calçados e acessórios,
Comércio,Joalheria,Vivara,Joias e relógios,
Comércio,Joalheria,Pandora,Joias personalizadas,
Comércio,Joalheria,Monte Carlo,Joalheria tradicional,
Comércio,Farmácia,Pague Menos,Rede de farmácias,
Comércio,Farmácia,Drogasil,Rede de farmácias,
Comércio,Farmácia,Drogarias Pacheco,Rede de farmácias,
Comércio,Farmácia,Ultrafarma,Rede de farmácias,
Comércio,Supermercado,GBarbosa,Tradicional sergipano,
Comércio,Supermercado,Lojas Guanabara,Tradicional rede do Nordeste,
Comércio,Supermercado,Carrefour,Hipermercado,
Comércio,Supermercado,Atacadão,Atacarejo,
Comércio,Supermercado,Sam's Club,Atacadista membership,
Comércio,Supermercado,Makro,Atacadista,
Comércio,Móveis,Lojas Guanabara,Móveis e eletrodomésticos,
Comércio,Móveis,Tok&Stok,Móveis e decoração,
Comércio,Móveis,Etna,Móveis e decoração,
Comércio,Decoração,Tok&Stok,Decoração e móveis,
Comércio,Decoração,Etna,Decoração e móveis,
Comércio,Decoração,Camicado,Casa e decoração,
Comércio,Eletrodomésticos,Lojas Guanabara,Tradicional rede,
Comércio,Eletrodomésticos,Magazine Luiza,Eletrônicos e eletros,
Comércio,Eletrodomésticos,Casas Bahia,Eletrônicos e eletros,
Comércio,Eletrodomésticos,Lojas Americanas,Variedades e eletros,
Comércio,Celulares e acessórios,Magazine Luiza,Celulares e eletrônicos,
Comércio,Celulares e acessórios,Casas Bahia,Celulares e eletrônicos,
Comércio,Celulares e acessórios,Fast Shop,Eletrônicos premium,
Comércio,Informática,Magazine Luiza,Informática e eletrônicos,
Comércio,Informática,Fast Shop,Informática premium,
Comércio,Informática,Kabum,Informática especializada,
Lazer e Entretenimento,Casa de Show,Salles Multieventos,Capacidade para 15.000 pessoas,
Lazer e Entretenimento,Casa de Show,705 Aracaju,Casa de shows e eventos,
Lazer e Entretenimento,Casa de Show,Amsterdam,Casa de eventos com 3 ambientes,
Lazer e Entretenimento,Casa de Show,Emes Centro de Eventos,Capacidade para 5.500 pessoas,
Lazer e Entretenimento,Cinema,Cinemark,Shopping Jardins,
Lazer e Entretenimento,Cinema,UCI Cinemas,Shopping RioMar,
Lazer e Entretenimento,Hotéis,Celi Hotel,Hotel cozy frente à praia,
Lazer e Entretenimento,Hotéis,Aquarius Praia Hotel,Hotel na Orla,
Lazer e Entretenimento,Hotéis,Real Praia Hotel,Hotel na Orla de Atalaia,
Lazer e Entretenimento,Pousadas,Hotel Pousada do Sol,Bem avaliado no Booking,
Lazer e Entretenimento,Pousadas,Pousada Dos Caminhos,Bom custo-benefício,
Lazer e Entretenimento,Pousadas,Pousada Raio de Sol,Piscina e estrutura completa,
Educação,Escolas,Colégio CCPA,46 anos de tradição em Aracaju,
Educação,Escolas,Colégio Intellectus,Referência em educação,
Educação,Escolas,Colégio Ômega,Bairro Santos Dumont,
Educação,Escolas,Colégio Pio Décimo,Centro de Aracaju,
Educação,Escolas,Colégio Salesiano Aracaju,Tradicional ensino salesiano,
Educação,Escolas,Instituto Dom Fernando Gomes,Bairro Dezoito do Forte,
Educação,Idiomas,Cultura Inglesa,Inglês com tradição,
Educação,Idiomas,CCAA,Inglês e espanhol,
Educação,Idiomas,Wizard,Idiomas para todas as idades,
Educação,Idiomas,Yázigi,Inglês e outras línguas,
Educação,Cursos livres,SENAC,Cursos profissionalizantes,
Educação,Cursos livres,SENAI,Cursos técnicos e industriais,
Imóveis e Construção,Construtora,Jotanunes,Top 3 de Aracaju,
Imóveis e Construção,Construtora,Construtora Impacto,40 anos no mercado sergipano,
Imóveis e Construção,Construtora,Construtora União,Top 100 do Brasil,
Imóveis e Construção,Construtora,Construtora KLB,Empreendimentos em Aracaju,
Imóveis e Construção,Construtora,Construtora Stanza,Apartamentos na planta,
Imóveis e Construção,Construtora,Construtora Santa Maria,Construções em Aracaju,
