categoria,subcategoria,nome,descricao,foto_url
Serviços,Academia,H2O Academia,,
Serviços,Academia,AjuFit Academia,,
Serviços,Academia,Academia Praia,,
Serviços,Academia,Smart Fit,,
Serviços,Academia,Selfit Academias,,
Serviços,Academia,Bluefit Aracaju,,
Serviços,Academia,Bio Ritmo,,
Serviços,Academia,Academia Performance,,
Serviços,Academia,Academia Corpo & Saúde,,
Serviços,Academia,Academia Fórmula,,
Alimentação,Acarajé,Acarajé da Orla,,
Alimentação,Acarajé,Acarajé da Passarela do Caranguejo,,
Alimentação,Acarajé,Acarajé da Baiana Nete,,
Alimentação,Acarajé,Acarajé da Jô,,
Alimentação,Acarajé,Acarajé da Tia Lú,,
Alimentação,Acarajé,Acarajé da Dinha,,
Alimentação,Acarajé,Acarajé da Praia do Refúgio,,
Alimentação,Acarajé,Acarajé do Mercado Municipal,,
Alimentação,Acarajé,Acarajé da Orlinha Pôr do Sol,,
Alimentação,Acarajé,Acarajé do Bugio,,
Profissionais Liberais,Advogado,Pablo Ribeiro Advocacia,,
Profissionais Liberais,Advogado,Andrade Duarte Advocacia,,
Profissionais Liberais,Advogado,Advogado Aracaju/SE,,
Profissionais Liberais,Advogado,Escritório Valença Advogados,,
Profissionais Liberais,Advogado,Oliveira & Santana Advocacia,,
Profissionais Liberais,Advogado,Barbosa e Barreto Advogados,,
Profissionais Liberais,Advogado,Mendonça Advocacia,,
Profissionais Liberais,Advogado,Lessa Advocacia,,
Profissionais Liberais,Advogado,Escritório Rocha & Associados,,
Profissionais Liberais,Advogado,Almeida & Freire Advogados,,
Serviços,Ajustes e consertos,Ajustes Dona Maria,,
Serviços,Ajustes e consertos,Costureira Maria José,,
Serviços,Ajustes e consertos,Ateliê Ajuste Perfeito,,
Serviços,Ajustes e consertos,Costura Express Aracaju,,
Serviços,Ajustes e consertos,Ateliê da Costura Jardins,,
Serviços,Ajustes e consertos,Costureira do Bairro Luzia,,
Serviços,Ajustes e consertos,Ajustes Rápidos Aracaju,,
Serviços,Ajustes e consertos,Ateliê Dona Lúcia,,
Serviços,Ajustes e consertos,Costureira São José,,
Serviços,Ajustes e consertos,Ateliê Ponto Fino,,
Comércio,Armarinhos,Armarinho Sergipano,,
Comércio,Armarinhos,Armarinho São José,,
Comércio,Armarinhos,Armarinho Santa Clara,,
Comércio,Armarinhos,Casa das Linhas Aracaju,,
Comércio,Armarinhos,Armarinho Econômico,,
Comércio,Armarinhos,Armarinho Central,,
Comércio,Armarinhos,Armarinho Luzia,,
Comércio,Armarinhos,Armarinho Atalaia,,
Comércio,Armarinhos,Casa das Miudezas,,
Comércio,Armarinhos,Armarinho Nordeste,,
Profissionais Liberais,Arquiteto,Ezio Deda Arquitetura,,
Profissionais Liberais,Arquiteto,R2 Arquitetura,,
Profissionais Liberais,Arquiteto,Estúdio 4 Arquitetura,,
Profissionais Liberais,Arquiteto,ArqDesign Aracaju,,
Profissionais Liberais,Arquiteto,Studio Arquitetura SE,,
Profissionais Liberais,Arquiteto,Patrícia Aragão Arquitetura,,
Profissionais Liberais,Arquiteto,Lima Arquitetos,,
Profissionais Liberais,Arquiteto,Andrade Arquitetura,,
Profissionais Liberais,Arquiteto,M2 Arquitetura,,
Profissionais Liberais,Arquiteto,Studio Conceito Arquitetura,,
Comércio,Artesanato local,Centro de Turismo de Aracaju,,
Comércio,Artesanato local,Mercado Municipal Antônio Franco,,
Comércio,Artesanato local,Mercado Thales Ferraz,,
Comércio,Artesanato local,Casa do Artesanato Sergipano,,
Comércio,Artesanato local,Feirinha da Orla de Atalaia,,
Comércio,Artesanato local,Artesanato da Orlinha Pôr do Sol,,
Comércio,Artesanato local,Loja Sergipe Artes,,
Comércio,Artesanato local,Espaço do Artesão,,
Comércio,Artesanato local,Feira do Bairro Industrial,,
Comércio,Artesanato local,Casa do Artesão do Bugio,,
Serviços,Assistência técnica,iPlace Assistência Apple,,
Serviços,Assistência técnica,Samsung Service Center Aracaju,,
Serviços,Assistência técnica,Assistência Técnica Multimarcas SE,,
Serviços,Assistência técnica,Tech Cell Assistência,,
Serviços,Assistência técnica,Aracaju Informática Assistência,,
Serviços,Assistência técnica,Help Tech Aracaju,,
Serviços,Assistência técnica,Doctor Phone,,
Serviços,Assistência técnica,Assistência LG Aracaju,,
Serviços,Assistência técnica,JR Assistência Técnica,,
Serviços,Assistência técnica,Mega Assistência,,
Comércio,Atacarejo,Assaí Atacadista,,
Comércio,Atacarejo,Atacadão,,
Comércio,Atacarejo,Makro,,
Comércio,Atacarejo,GBarbosa Atacado,,
Comércio,Atacarejo,Bompreço Atacado,,
Comércio,Atacarejo,Hiper GBarbosa,,
Comércio,Atacarejo,Supermercado Nunes Peixoto,,
Comércio,Atacarejo,Pão de Açúcar,,
Comércio,Atacarejo,Mix Mateus,,
Comércio,Atacarejo,Comercial Rodrigues,,
Automotivo,Auto Peças,Auto Peças Sergipe,,
Automotivo,Auto Peças,Casa das Peças Aracaju,,
Automotivo,Auto Peças,Peça Fácil SE,,
Automotivo,Auto Peças,Auto Peças Brasil,,
Automotivo,Auto Peças,Central das Peças,,
Automotivo,Auto Peças,Auto Peças Jardins,,
Automotivo,Auto Peças,Auto Peças Atalaia,,
Automotivo,Auto Peças,Nordeste Auto Peças,,
Automotivo,Auto Peças,Peças & Cia,,
Automotivo,Auto Peças,Auto Center Sergipe,,
Alimentação,Bar,Salomé Bar,,
Alimentação,Bar,Bar Pé Sujo,,
Alimentação,Bar,The Stones Pub,,
Alimentação,Bar,Cariri,,
Alimentação,Bar,Restaurante Jorge Amado,,
Alimentação,Bar,Zé do Caranguejo,,
Alimentação,Bar,República dos Camarões,,
Alimentação,Bar,Passarela do Caranguejo,,
Alimentação,Bar,Deck Sushi Lounge,,
Alimentação,Bar,Armazém 51,,
Serviços,Barbearia,The Master Barber,,
Serviços,Barbearia,La Campos Barbearia,,
Serviços,Barbearia,Barbearia Dom Pedro,,
Serviços,Barbearia,Barbearia Clube do Corte,,
Serviços,Barbearia,Barbearia Vintage,,
Serviços,Barbearia,Barbearia Elite,,
Serviços,Barbearia,Barbearia Aracaju,,
Serviços,Barbearia,Barbearia Premium SE,,
Serviços,Barbearia,Barbearia Império,,
Serviços,Barbearia,Barbearia Conceito,,
Automotivo,Borracharia,Borracharia do João,,
Automotivo,Borracharia,Borracharia 24h Aracaju,,
Automotivo,Borracharia,Borracharia Avenida,,
Automotivo,Borracharia,Borracharia Central,,
Automotivo,Borracharia,Borracharia São José,,
Automotivo,Borracharia,Borracharia Jardins,,
Automotivo,Borracharia,Borracharia Luzia,,
Automotivo,Borracharia,Borracharia Express,,
Automotivo,Borracharia,Borracharia do Bugio,,
Automotivo,Borracharia,Borracharia Norte,,
Lazer e Entretenimento,Buffets,Joana Porto Buffet,,
Lazer e Entretenimento,Buffets,Eli Vieira Buffet,,
Lazer e Entretenimento,Buffets,Tânia Vasconcelos Buffet,,
Lazer e Entretenimento,Buffets,Buffet Celebrar,,
Lazer e Entretenimento,Buffets,Buffet Sonho de Festa,,
Lazer e Entretenimento,Buffets,Buffet Encanto Kids,,
Lazer e Entretenimento,Buffets,Buffet Arco-Íris,,
Lazer e Entretenimento,Buffets,Buffet Alegria,,
Lazer e Entretenimento,Buffets,Buffet Espaço Kids,,
Lazer e Entretenimento,Buffets,Buffet Premium Eventos,,
Alimentação,Cafeteria,Grão de Café,,
Alimentação,Cafeteria,Café São Braz,,
Alimentação,Cafeteria,Havanna Café,,
Alimentação,Cafeteria,Fran's Café,,
Alimentação,Cafeteria,Deltaexpresso,,
Alimentação,Cafeteria,Casa Bauducco,,
Alimentação,Cafeteria,Empório Café,,
Alimentação,Cafeteria,Café do Mercado,,
Alimentação,Cafeteria,Café Cultura,,
Alimentação,Cafeteria,Santo Grão,,
Comércio,"Cama, mesa e banho",MMartan,,
Comércio,"Cama, mesa e banho",Casa Almeida,,
Comércio,"Cama, mesa e banho",Trousseau,,
Comércio,"Cama, mesa e banho",Karsten Store,,
Comércio,"Cama, mesa e banho",Artex,,
Comércio,"Cama, mesa e banho",Casa Riachuelo,,
Comércio,"Cama, mesa e banho",Magazine Luiza,,
Comércio,"Cama, mesa e banho",Casas Bahia,,
Comércio,"Cama, mesa e banho",Lojas Americanas,,
Comércio,"Cama, mesa e banho",Havan,,
Lazer e Entretenimento,Casa de Show,Suburbia,,
Lazer e Entretenimento,Casa de Show,Augustus,,
Lazer e Entretenimento,Casa de Show,Iate Clube de Aracaju,,
Lazer e Entretenimento,Casa de Show,Salles Multieventos,,
Lazer e Entretenimento,Casa de Show,Espaço Emes,,
Lazer e Entretenimento,Casa de Show,Che Music Bar,,
Lazer e Entretenimento,Casa de Show,Arena de Eventos Orla,,
Lazer e Entretenimento,Casa de Show,Armazém Hall,,
Lazer e Entretenimento,Casa de Show,Estação 23,,
Lazer e Entretenimento,Casa de Show,Lounge Music,,
Comércio,Celulares e acessórios,iPlace,,
Comércio,Celulares e acessórios,Samsung Store,,
Comércio,Celulares e acessórios,Casas Bahia,,
Comércio,Celulares e acessórios,Magazine Luiza,,
Comércio,Celulares e acessórios,Lojas Americanas,,
Comércio,Celulares e acessórios,Ponto,,
Comércio,Celulares e acessórios,Ricardo Eletro,,
Comércio,Celulares e acessórios,Fast Shop,,
Comércio,Celulares e acessórios,Claro Loja,,
Comércio,Celulares e acessórios,Vivo Loja,,
Lazer e Entretenimento,Cinema,Cinemark,,
Lazer e Entretenimento,Cinema,Cinépolis,,
Lazer e Entretenimento,Cinema,Moviecom,,
Lazer e Entretenimento,Cinema,Cine Vitória,,
Lazer e Entretenimento,Cinema,Cine RioMar,,
Lazer e Entretenimento,Cinema,Cine Jardins,,
Lazer e Entretenimento,Cinema,Cine Shopping Prêmio,,
Lazer e Entretenimento,Cinema,Cine Sul,,
Lazer e Entretenimento,Cinema,Cine Centerplex,,
Lazer e Entretenimento,Cinema,Cine Lumière,,
Saúde,Clínica Veterinária,Clínica Veterinária São Francisco,,
Saúde,Clínica Veterinária,Animal Center,,
Saúde,Clínica Veterinária,Pet Vida Clínica Veterinária,,
